sentences_ref,words_ref,sentences_intro,words_intro,sentences_mat,words_mat,sentences_conc,words_conc
8,196,29,751,28,634,130,3147
10,217,21,509,21,340,14,356
10,210,22,553,42,815,80,2235
1,1,22,659,29,807,94,1740
23,532,19,395,47,815,68,1596
11,252,47,1034,108,2013,135,2717
13,221,15,303,3,40,82,1219
13,240,16,506,65,1529,70,2097
10,241,30,872,27,529,154,4292
9,236,15,288,47,625,113,2047
7,157,14,524,35,798,107,2678
13,256,14,311,39,835,75,1813
14,208,5,64,4,67,7,84
10,161,25,627,26,375,54,1188
17,238,25,577,46,873,91,1534
14,209,27,500,83,1469,3,48
8,204,18,555,46,1041,54,1495
16,252,17,450,23,443,107,2069
11,183,17,421,19,277,137,3084
13,245,23,429,12,153,113,2587
21,267,26,315,28,582,121,2177
8,153,14,414,19,431,72,1674
9,219,17,538,28,506,69,1831
21,327,19,408,53,878,199,2902
11,255,24,615,36,499,132,2323
8,258,25,733,59,1270,64,2102
13,251,20,509,155,2986,264,4418
10,232,22,596,73,1438,188,4165
11,272,26,721,48,1004,72,2128
8,178,43,1155,131,2562,167,3439
16,241,34,742,39,744,213,2127
25,307,45,927,20,256,53,904
10,201,38,945,144,3728,286,4886
9,184,18,451,51,997,180,3637
6,134,12,320,70,1570,82,1616
11,201,17,365,36,424,126,2255
7,187,17,371,43,568,59,1556
9,215,30,992,4,79,165,3715
20,228,19,541,44,638,264,3187
9,158,25,565,54,776,220,4605
12,254,35,719,45,957,242,2110
9,215,46,933,40,644,113,2403
15,252,25,591,60,1002,115,2294
15,239,14,334,44,728,82,1829
9,182,8,170,37,691,31,650
11,271,19,414,10,152,102,2274
9,196,19,499,46,1168,70,1768
9,274,32,882,102,2300,230,2501
10,222,10,308,58,1073,116,2901
9,182,15,430,33,502,87,2253
12,248,23,530,41,864,47,774
12,197,11,306,35,795,70,1435
19,258,51,1066,55,598,138,2095
11,239,15,394,84,1941,89,2146
21,260,31,748,44,748,164,1825
7,125,32,629,87,1645,193,3179
10,205,14,408,37,891,61,1674
5,126,7,173,28,732,110,1462
9,125,12,228,27,427,63,1291
9,194,21,553,77,1201,51,1451
11,187,13,249,21,420,125,2095
11,257,39,991,50,973,94,2563
7,122,18,391,33,596,192,3713
25,255,17,321,64,1302,103,2310
13,219,17,200,4,61,478,2899
13,216,11,333,70,1182,68,1482
9,170,20,522,54,936,128,2200
20,298,36,1028,58,1142,77,2007
10,235,15,437,47,1006,70,1495
15,234,18,443,45,715,73,1526
9,267,33,725,148,2619,366,7313
10,248,22,697,45,853,68,2028
24,315,16,407,87,1305,91,2052
1,1,20,395,28,486,33,693
11,254,30,886,87,1496,78,2492
11,189,21,509,24,514,176,2089
5,144,16,387,190,1767,13,278
10,253,13,389,105,2213,54,1570
10,246,24,752,50,735,58,1655
12,228,2,31,59,1417,84,1823
10,236,21,431,177,3562,87,1456
13,230,12,284,46,947,33,891
6,150,26,713,62,998,99,2270
25,438,14,396,48,1041,115,2660
1,1,24,542,92,1622,100,2435
11,166,26,525,26,409,86,1802
9,215,16,426,36,700,36,1053
15,328,47,996,71,1065,70,1601
10,192,28,529,32,628,23,440
12,208,17,340,65,1194,507,2083
12,212,17,403,44,821,79,1937
11,202,24,540,63,1263,48,1256
9,165,4,106,88,1765,94,1798
12,224,28,547,81,1037,75,1817
13,250,25,523,54,942,112,1518
12,230,20,447,57,990,154,2590
7,132,18,392,48,767,38,863
10,206,19,550,43,599,103,2618
11,220,37,746,75,1200,138,3027
5,147,25,705,29,611,94,2238
11,266,9,192,26,592,71,1719
8,142,11,201,25,564,143,1362
8,206,18,469,36,635,147,3523
10,221,27,636,47,905,59,1458
8,166,32,713,62,1047,96,2449
12,358,33,795,69,1260,751,2682
9,221,33,730,36,555,47,1213
12,269,21,523,79,1399,79,1586
14,238,14,359,42,1005,42,1128
6,129,33,807,52,956,111,1407
8,221,11,247,38,754,97,2127
10,256,27,641,62,1273,52,1107
13,247,29,827,49,897,152,2952
8,152,15,510,54,1372,67,1957
5,107,31,391,102,1786,23,321
8,192,13,288,43,880,103,2405
12,209,12,259,37,724,70,1054
7,136,22,474,147,2172,153,3571
18,240,23,385,56,979,51,944
13,188,17,300,51,1046,58,1187
16,234,56,1170,132,2264,281,4121
18,340,28,692,37,687,101,2564
11,228,23,699,43,728,82,630
8,186,20,495,46,868,48,1220
12,270,30,719,50,834,214,5232
11,258,22,539,57,1052,58,1404
12,224,37,669,33,632,391,2445
1,1,18,372,75,1379,105,1742
9,209,16,383,22,358,87,1797
13,274,37,819,43,924,56,1449
10,248,22,559,68,1266,79,1972
8,226,25,673,65,1204,136,2499
10,226,21,503,42,644,160,2677
10,201,28,624,26,342,136,2655
12,238,22,550,63,940,73,1825
